№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
134,Ilokano,Ilokano,ilo,"15,357","70,081","391,401",2,"16,112",20,0,71,10000
135,Sindhi,سنڌي، سندھی ، सिन्ध,sd,"15,227","56,185","239,709",4,"15,627",32,145,31,10000
136,Amharic,አማርኛ,am,"15,033","45,895","371,285",2,"38,911",45,"1,765",34,10000
137,Pashto,پښتو,ps,"14,79","53,381","281,54",1,"27,596",60,"1,712",36,10000
138,Neapolitan,Nnapulitano,nap,"14,73","23,703","664,588",3,"27,569",31,281,10,10000
139,Balinese,Bali,ban,"14,332","29,221","118,361",3,"5,196",31,112,4,10000
140,Sakha,Саха тыла (Saxa Tyla),sah,"14,21","47,556","380,637",3,"22,066",38,"1,765",44,10000
141,Upper Sorbian,Hornjoserbsce,hsb,"13,821","35,359","377,158",4,"22,958",39,133,26,10000
142,Faroese,Føroyskt,fo,"13,763","40,235","368,382",3,"26,757",44,0,34,10000
143,Banyumasan,Basa Banyumasan,map-bms,"13,752","30,191","213,036",1,"14,862",18,462,10,10000
144,Maithili,मैथिली,mai,"13,717","39,13","229,193",5,"11,655",27,115,20,10000
145,Limburgish,Limburgs,li,"13,632","65,435","453,782",7,"26,409",23,623,100,10000
146,Mazandarani,مَزِروني,mzn,"13,427","30,387","165,506",3,"29,891",40,263,9,10000
147,Gorontalo,Hulontalo,gor,"13,121","20,477","50,305",2,"3,963",41,0,1,10000
148,Emilian-Romagnol,Emiliàn e rumagnòl,eml,"13,009","35,032","151,925",3,"23,229",29,"2,739",12,10000
149,Acehnese,Basa Acèh,ace,"12,543","26,457","137,158",3,"23,976",26,0,6,10000
150,Central Bicolano,Bikol,bcl,"12,208","32,573","232,153",3,"19,533",44,865,20,10000
151,Sanskrit,संस्कृतम्,sa,"11,766","69,88","468,746",4,"35,174",35,445,164,10000
152,Walloon,Walon,wa,"11,513","27,152","387,751",4,"22,123",17,614,26,10000
153,Classical Chinese,古文 / 文言文,zh-classical,"11,381","96,411","378,931",6,"94,142",55,0,219,10000
154,Shan,လိၵ်ႈတႆး,shn,"11,344","26,789","54,266",2,"3,225",15,60,4,10000
155,Ligurian,Lìgure,lij,"10,998","26,583","230,645",8,"14,377",25,6,17,10000
156,Zulu,isiZulu,zu,"10,557","23,937","96,356",1,"17,325",36,0,6,10000
157,Assamese,অসমীয়া,as,"10,428","72,252","326,554",4,"34,168",112,"1,694",159,10000
158,Hill Mari,Кырык Мары (Kyryk Mary),mrj,"10,427","18,575","100,389",1,"9,901",16,0,3,10000
159,Meadow Mari,Олык Марий (Olyk Marij),mhr,"10,408","27,12","184,655",1,"13,043",27,0,18,10000
160,Fiji Hindi,Fiji Hindi,hif,"10,267","41,951","271,807",2,"29,365",34,192,62,10000
161,Western Armenian,Արեւմտահայերէն,hyw,"10,186","21,432","194,25",5,"7,185",36,0,11,10000
162,Interlingue,Interlingue,ie,"10,083","13,834","149,526",3,"16,722",28,0,1,10000
163,Meitei,ꯃꯤꯇꯩꯂꯣꯟ,mni,"10,074","16,129","48,187",1,"2,08",17,0,1,10000
164,Hakka,Hak-kâ-fa / 客家話,hak,"9,441","18,257","122,313",1,"30,243",19,0,6,1000
165,Khmer,ភាសាខ្មែរ,km,"9,396","33,223","280,727",6,"36,03",77,"1,101",54,1000
166,Tarantino,Tarandíne,roa-tara,"9,306","17,638","140,082",2,"10,768",8,288,6,1000
167,Kapampangan,Kapampangan,pam,"8,841","21,41","295,631",2,"19,317",22,403,28,1000
168,Northern Sotho,Sepedi,nso,"8,51","10,742","49,547",1,"5,777",19,0,0,1000
